"SYMBOL","ENSEMBL","GENENAME"
"SEPTIN1","ENSG00000180096","septin 1"
"SEPTIN4","ENSG00000108387","septin 4"
"SERPINF2","ENSG00000167711","serpin family F member 2"
"SETD1A","ENSG00000099381","SET domain containing 1A, histone lysine methyltransferase"
"SEZ6L2","ENSG00000174938","seizure related 6 homolog like 2"
"SH2D2A","ENSG00000027869","SH2 domain containing 2A"
"SHARPIN","ENSG00000179526","SHANK associated RH domain interactor"
"SHMT1","ENSG00000176974","serine hydroxymethyltransferase 1"
"SHMT2","ENSG00000182199","serine hydroxymethyltransferase 2"
"SIGLEC11","ENSG00000161640","sialic acid binding Ig like lectin 11"
"SIGLEC9","ENSG00000129450","sialic acid binding Ig like lectin 9"
"SIRPA","ENSG00000198053","signal regulatory protein alpha"
"SIRPB1","ENSG00000101307","signal regulatory protein beta 1"
"SIRPG","ENSG00000089012","signal regulatory protein gamma"
"SLC24A4","ENSG00000140090","solute carrier family 24 member 4"
"SLC25A11","ENSG00000108528","solute carrier family 25 member 11"
"SLC26A1","ENSG00000145217","solute carrier family 26 member 1"
"SLC2A4","ENSG00000181856","solute carrier family 2 member 4"
"SLC35B1","ENSG00000121073","solute carrier family 35 member B1"
"SLC36A1","ENSG00000123643","solute carrier family 36 member 1"
"SLC37A3","ENSG00000157800","solute carrier family 37 member 3"
"SLC39A13","ENSG00000165915","solute carrier family 39 member 13"
"SLC39A6","ENSG00000141424","solute carrier family 39 member 6"
"SLC4A8","ENSG00000050438","solute carrier family 4 member 8"
"SLC7A9","ENSG00000021488","solute carrier family 7 member 9"
"SLC8B1","ENSG00000089060","solute carrier family 8 member B1"
"SMCR8","ENSG00000176994","SMCR8-C9orf72 complex subunit"
"SMG1","ENSG00000157106","SMG1 nonsense mediated mRNA decay associated PI3K related kinase"
"SMG1P5","ENSG00000183604","SMG1 pseudogene 5"
"SNRNP200","ENSG00000144028","small nuclear ribonucleoprotein U5 subunit 200"
"SNRNP70","ENSG00000104852","small nuclear ribonucleoprotein U1 subunit 70"
"SNRPB","ENSG00000125835","small nuclear ribonucleoprotein polypeptides B and B1"
"SNU13","ENSG00000100138","small nuclear ribonucleoprotein 13"
"SNX1","ENSG00000028528","sorting nexin 1"
"SNX11","ENSG00000002919","sorting nexin 11"
"SNX31","ENSG00000174226","sorting nexin 31"
"SNX32","ENSG00000172803","sorting nexin 32"
"SORBS1","ENSG00000095637","sorbin and SH3 domain containing 1"
"SORL1","ENSG00000137642","sortilin related receptor 1"
"SPAG9","ENSG00000008294","sperm associated antigen 9"
"SPEG","ENSG00000072195","striated muscle enriched protein kinase"
"SPG21","ENSG00000090487","SPG21 abhydrolase domain containing, maspardin"
"SPI1","ENSG00000066336","Spi-1 proto-oncogene"
"SPPL2A","ENSG00000138600","signal peptide peptidase like 2A"
"SPPL2C","ENSG00000185294","signal peptide peptidase like 2C"
"SRA1","ENSG00000213523","steroid receptor RNA activator 1"
"SRSF10","ENSG00000188529","serine and arginine rich splicing factor 10"
"SSBP4","ENSG00000130511","single stranded DNA binding protein 4"
"ST3GAL2","ENSG00000157350","ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
"STAG3","ENSG00000066923","STAG3 cohesin complex component"
"STAG3L5P","ENSG00000242294","STAG3 cohesin complex component like 5, pseudogene"
"STH","ENSG00000256762","saitohin"
"STX4","ENSG00000103496","syntaxin 4"
"SUN2","ENSG00000100242","Sad1 and UNC84 domain containing 2"
"SVBP","ENSG00000177868","small vasohibin binding protein"
"SYMPK","ENSG00000125755","symplekin scaffold protein"
"SYTL2","ENSG00000137501","synaptotagmin like 2"
"SZT2","ENSG00000198198","SZT2 subunit of KICSTOR complex"
"TAF6","ENSG00000106290","TATA-box binding protein associated factor 6"
"TAF7","ENSG00000178913","TATA-box binding protein associated factor 7"
"TANGO6","ENSG00000103047","transport and golgi organization 6 homolog"
"TAOK2","ENSG00000149930","TAO kinase 2"
"TAS2R3","ENSG00000127362","taste 2 receptor member 3"
"TAS2R60","ENSG00000185899","taste 2 receptor member 60"
"TAX1BP1","ENSG00000106052","Tax1 binding protein 1"
"TBX6","ENSG00000149922","T-box transcription factor 6"
"TECPR2","ENSG00000196663","tectonin beta-propeller repeat containing 2"
"TFAM","ENSG00000108064","transcription factor A, mitochondrial"
"TIMD4","ENSG00000145850","T cell immunoglobulin and mucin domain containing 4"
"TLCD2","ENSG00000185561","TLC domain containing 2"
"TLCD3B","ENSG00000149926","TLC domain containing 3B"
"TMEM106B","ENSG00000106460","transmembrane protein 106B"
"TMEM109","ENSG00000110108","transmembrane protein 109"
"TMEM121","ENSG00000184986","transmembrane protein 121"
"TMEM160","ENSG00000130748","transmembrane protein 160"
"TMEM163","ENSG00000152128","transmembrane protein 163"
"TMEM178B","ENSG00000261115","transmembrane protein 178B"
"TMEM184A","ENSG00000164855","transmembrane protein 184A"
"TMEM219","ENSG00000149932","transmembrane protein 219"
"TMEM259","ENSG00000182087","transmembrane protein 259"
"TMUB2","ENSG00000168591","transmembrane and ubiquitin like domain containing 2"
"TMX2","ENSG00000213593","thioredoxin related transmembrane protein 2"
"TNIP1","ENSG00000145901","TNFAIP3 interacting protein 1"
"TOB1","ENSG00000141232","transducer of ERBB2, 1"
"TOMM22","ENSG00000100216","translocase of outer mitochondrial membrane 22"
"TOP3A","ENSG00000177302","DNA topoisomerase III alpha"
"TP53INP1","ENSG00000164938","tumor protein p53 inducible nuclear protein 1"
"TPCN1","ENSG00000186815","two pore segment channel 1"
"TPM1","ENSG00000140416","tropomyosin 1"
"TREM2","ENSG00000095970","triggering receptor expressed on myeloid cells 2"
"TREML1","ENSG00000161911","triggering receptor expressed on myeloid cells like 1"
"TREML2","ENSG00000112195","triggering receptor expressed on myeloid cells like 2"
"TRIM72","ENSG00000177238","tripartite motif containing 72"
"TRPM7","ENSG00000092439","transient receptor potential cation channel subfamily M member 7"
"TSPAN14","ENSG00000108219","tetraspanin 14"
"TSPAN33","ENSG00000158457","tetraspanin 33"
"TSPOAP1","ENSG00000005379","TSPO associated protein 1"
"TUBG2","ENSG00000037042","tubulin gamma 2"
"UBC","ENSG00000150991","ubiquitin C"
"UBFD1","ENSG00000103353","ubiquitin family domain containing 1"
"UIMC1","ENSG00000087206","ubiquitin interaction motif containing 1"
"UNC13A","ENSG00000130477","unc-13 homolog A"
"UNC5CL","ENSG00000124602","unc-5 family C-terminal like"
"USF1","ENSG00000158773","upstream transcription factor 1"
"USP6NL","ENSG00000148429","USP6 N-terminal like"
"USP8","ENSG00000138592","ubiquitin specific peptidase 8"
"VAC14","ENSG00000103043","VAC14 component of PIKFYVE complex"
"VKORC1","ENSG00000167397","vitamin K epoxide reductase complex subunit 1"
"VPS16","ENSG00000215305","VPS16 core subunit of CORVET and HOPS complexes"
"VPS25","ENSG00000131475","vacuolar protein sorting 25 homolog"
"VPS8","ENSG00000156931","VPS8 subunit of CORVET complex"
"VRK3","ENSG00000105053","VRK serine/threonine kinase 3"
"VWA5B2","ENSG00000145198","von Willebrand factor A domain containing 5B2"
"WDR12","ENSG00000138442","WD repeat domain 12"
"WDR18","ENSG00000065268","WD repeat domain 18"
"WDR81","ENSG00000167716","WD repeat domain 81"
"WNT3","ENSG00000108379","Wnt family member 3"
"WNT9B","ENSG00000158955","Wnt family member 9B"
"XAF1","ENSG00000132530","XIAP associated factor 1"
"YEATS2","ENSG00000163872","YEATS domain containing 2"
"YOD1","ENSG00000180667","YOD1 deubiquitinase"
"YPEL3","ENSG00000090238","yippee like 3"
"ZCCHC2","ENSG00000141664","zinc finger CCHC-type containing 2"
"ZKSCAN1","ENSG00000106261","zinc finger with KRAB and SCAN domains 1"
"ZNF232","ENSG00000167840","zinc finger protein 232"
"ZNF281","ENSG00000162702","zinc finger protein 281"
"ZNF395","ENSG00000186918","zinc finger protein 395"
"ZNF423","ENSG00000102935","zinc finger protein 423"
"ZNF428","ENSG00000131116","zinc finger protein 428"
"ZNF48","ENSG00000180035","zinc finger protein 48"
"ZNF576","ENSG00000124444","zinc finger protein 576"
"ZNF608","ENSG00000168916","zinc finger protein 608"
"ZNF646","ENSG00000167395","zinc finger protein 646"
"ZNF652","ENSG00000198740","zinc finger protein 652"
"ZNF668","ENSG00000167394","zinc finger protein 668"
"ZNF689","ENSG00000156853","zinc finger protein 689"
"ZNF747","ENSG00000169955","zinc finger protein 747"
"ZNF785","ENSG00000197162","zinc finger protein 785"
"ZPBP","ENSG00000042813","zona pellucida binding protein"
"ZSCAN21","ENSG00000166529","zinc finger and SCAN domain containing 21"
"ZYX","ENSG00000159840","zyxin"
